Year,City,Sport,Athlete,Country,Gender,Event,Medal
1956,Cortina d'Ampezzo,Skating,"WENDL, Ingrid",AUT,Women,Individual,Bronze
1956,Cortina d'Ampezzo,Skating,"OPPELT, Kurt",AUT,Men,Pairs,Gold
1956,Cortina d'Ampezzo,Skating,"SCHWARZ, Elisabeth",AUT,Women,Pairs,Gold
1956,Cortina d'Ampezzo,Skiing,"MOLTERER, Andreas",AUT,Men,Downhill,Bronze
1956,Cortina d'Ampezzo,Skiing,"SAILER, Anton",AUT,Men,Downhill,Gold
1956,Cortina d'Ampezzo,Skiing,"SCHUSTER, Walter",AUT,Men,Giant Slalom,Bronze
1956,Cortina d'Ampezzo,Skiing,"SAILER, Anton",AUT,Men,Giant Slalom,Gold
1956,Cortina d'Ampezzo,Skiing,"MOLTERER, Andreas",AUT,Men,Giant Slalom,Silver
1956,Cortina d'Ampezzo,Skiing,"HOCHLEITNER, Dorothea",AUT,Women,Giant Slalom,Bronze
1956,Cortina d'Ampezzo,Skiing,"FRANDL, Josefine",AUT,Women,Giant Slalom,Silver
1956,Cortina d'Ampezzo,Skiing,"SAILER, Anton",AUT,Men,Slalom,Gold
1956,Cortina d'Ampezzo,Skiing,"SCHe_PF, Regina",AUT,Women,Slalom,Silver
1956,Cortina d'Ampezzo,Ice Hockey,"BRODEUR, Denis",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"BROOKER, Charles",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"COLVIN, William",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"HORNE, Alfred James",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"HURST, Arthur",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"KLINCK, Byrle",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"KNOX, Paul",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"LAUFMAN, Kenneth",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"LEE, Howard Stewart",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"LOGAN, James",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"MARTIN, Floyd",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"MCKENZIE, John A.",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"ROPE, Donald",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"SCHOLES, George",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"THEBERGE, Gerry",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"WHITE, Robert",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Ice Hockey,"WOODALL, Keith Eugene",CAN,Men,Ice Hockey,Bronze
1956,Cortina d'Ampezzo,Skating,"BOWDEN, Norris",CAN,Men,Pairs,Silver
1956,Cortina d'Ampezzo,Skating,"DAFOE, Frances",CAN,Women,Pairs,Silver
1956,Cortina d'Ampezzo,Skiing,"WHEELER, Lucile",CAN,Women,Downhill,Bronze
1956,Cortina d'Ampezzo,Skiing,"REICHERT, Ossi",EUA,Women,Giant Slalom,Gold
1956,Cortina d'Ampezzo,Skiing,"GLASS, Harry",EUA,Men,K90 Individual (70M),Bronze
1956,Cortina d'Ampezzo,Skating,"SALONEN, Toivo",FIN,Men,1500M,Bronze
1956,Cortina d'Ampezzo,Skiing,"HAKULINEN, Veikko",FIN,Men,30KM Mass Start,Gold
1956,Cortina d'Ampezzo,Skiing,"HIETAMIES, Mirja",FIN,Women,3X5KM Relay,Gold
1956,Cortina d'Ampezzo,Skiing,"POLKUNEN, Sirkka",FIN,Women,3X5KM Relay,Gold
1956,Cortina d'Ampezzo,Skiing,"RANTANEN, Siiri",FIN,Women,3X5KM Relay,Gold
1956,Cortina d'Ampezzo,Skiing,"HAKULINEN, Veikko",FIN,Men,4X10KM Relay,Silver
1956,Cortina d'Ampezzo,Skiing,"KIURU, August",FIN,Men,4X10KM Relay,Silver
1956,Cortina d'Ampezzo,Skiing,"KORTELAINEN, Jorma",FIN,Men,4X10KM Relay,Silver
1956,Cortina d'Ampezzo,Skiing,"VIITANEN, Arvo",FIN,Men,4X10KM Relay,Silver
1956,Cortina d'Ampezzo,Skiing,"HAKULINEN, Veikko",FIN,Men,50KM,Silver
1956,Cortina d'Ampezzo,Skiing,"HYVeRINEN, Antti",FIN,Men,K90 Individual (70M),Gold
1956,Cortina d'Ampezzo,Skiing,"KALLAKORPI, Aulis",FIN,Men,K90 Individual (70M),Silver
1956,Cortina d'Ampezzo,Skating,"NAGY, Laszlo",HUN,Men,Pairs,Bronze
1956,Cortina d'Ampezzo,Skating,"NAGY, Marianna",HUN,Women,Pairs,Bronze
1956,Cortina d'Ampezzo,Bobsleigh,"ALVERA, Renzo",ITA,Men,Four-Man,Silver
1956,Cortina d'Ampezzo,Bobsleigh,"GIRARDI, Ulrico",ITA,Men,Four-Man,Silver
1956,Cortina d'Ampezzo,Bobsleigh,"MOCELLINI, Renato",ITA,Men,Four-Man,Silver
1956,Cortina d'Ampezzo,Bobsleigh,"MONTI, Eugenio",ITA,Men,Four-Man,Silver
1956,Cortina d'Ampezzo,Bobsleigh,"CONTI, Giacomo",ITA,Men,Two-Man,Gold
1956,Cortina d'Ampezzo,Bobsleigh,"DALLA COSTA, Lamberto",ITA,Men,Two-Man,Gold
1956,Cortina d'Ampezzo,Bobsleigh,"ALVERA, Renzo",ITA,Men,Two-Man,Silver
1956,Cortina d'Ampezzo,Bobsleigh,"MONTI, Eugenio",ITA,Men,Two-Man,Silver
1956,Cortina d'Ampezzo,Skiing,"IGAYA, Chiharu",JPN,Men,Slalom,Silver
1956,Cortina d'Ampezzo,Skating,"JOHANNESEN, Knut",NOR,Men,10000M,Silver
1956,Cortina d'Ampezzo,Skating,"GJESTVANG, Alv",NOR,Men,500M,Bronze
1956,Cortina d'Ampezzo,Skiing,"BRENDEN, Hallgeir",NOR,Men,15KM,Gold
1956,Cortina d'Ampezzo,Skiing,"STENERSEN, Sverre",NOR,Men,Individual,Gold
1956,Cortina d'Ampezzo,Skiing,"GASIENICA-GRON, Franciszek",POL,Men,Individual,Bronze
1956,Cortina d'Ampezzo,Bobsleigh,"ALT, Robert",SUI,Men,Four-Man,Gold
1956,Cortina d'Ampezzo,Bobsleigh,"ANGST, Heinrich",SUI,Men,Four-Man,Gold
1956,Cortina d'Ampezzo,Bobsleigh,"DIENER, Gottfried",SUI,Men,Four-Man,Gold
1956,Cortina d'Ampezzo,Bobsleigh,"KAPUS, Franz",SUI,Men,Four-Man,Gold
1956,Cortina d'Ampezzo,Bobsleigh,"ANGST, Max",SUI,Men,Two-Man,Bronze
1956,Cortina d'Ampezzo,Bobsleigh,"WARBURTON, Harry",SUI,Men,Two-Man,Bronze
1956,Cortina d'Ampezzo,Skiing,"FELLAY, Raymond",SUI,Men,Downhill,Silver
1956,Cortina d'Ampezzo,Skiing,"BERTHOD, Madeleine",SUI,Women,Downhill,Gold
1956,Cortina d'Ampezzo,Skiing,"DeNZER, Frieda",SUI,Women,Downhill,Silver
1956,Cortina d'Ampezzo,Skiing,"COLLIARD, Renee",SUI,Women,Slalom,Gold
1956,Cortina d'Ampezzo,Skating,"ERICSSON, Sigvard",SWE,Men,10000M,Gold
1956,Cortina d'Ampezzo,Skating,"ERICSSON, Sigvard",SWE,Men,5000M,Silver
1956,Cortina d'Ampezzo,Skiing,"SOLLANDER, Stig",SWE,Men,Slalom,Bronze
1956,Cortina d'Ampezzo,Skiing,"EDSTRe_M, Sonja",SWE,Women,10KM,Bronze
1956,Cortina d'Ampezzo,Skiing,"JERNBERG, Sixten",SWE,Men,15KM,Silver
1956,Cortina d'Ampezzo,Skiing,"JERNBERG, Sixten",SWE,Men,30KM Mass Start,Silver
1956,Cortina d'Ampezzo,Skiing,"EDSTRe_M, Sonja",SWE,Women,3X5KM Relay,Bronze
1956,Cortina d'Ampezzo,Skiing,"ERIKSSON, Anna Lisa",SWE,Women,3X5KM Relay,Bronze
1956,Cortina d'Ampezzo,Skiing,"JOHANSSON, Irma",SWE,Women,3X5KM Relay,Bronze
1956,Cortina d'Ampezzo,Skiing,"JERNBERG, Sixten",SWE,Men,4X10KM Relay,Bronze
1956,Cortina d'Ampezzo,Skiing,"LARSSON, Lennart",SWE,Men,4X10KM Relay,Bronze
1956,Cortina d'Ampezzo,Skiing,"LARSSON, Per-Erik",SWE,Men,4X10KM Relay,Bronze
